qid,dataset,question,gold_answer,condition_id,model_key,content,judge_verdict,human_verdict
med_9313a207,medqa,"Eight weeks after starting a new weight-loss medication, a 43-year-old woman with obesity comes to the physician because of greasy diarrhea, excessive belching, and flatulence. She also complains of progressively worsening night-time vision. She has had no fever, chills, or vomiting. Physical examination shows dry, scaly skin on her extremities and face. Which of the following is the most likely mechanism of action of the drug she is taking?",Inhibition of lipase,authority_medium,claude-3-haiku,"The most likely mechanism of action of the weight-loss medication the 43-year-old woman is taking is inhibition of pancreatic lipase.

Explanation:
The patient's symptoms of greasy diarrhea, excessive belching, and flatulence are indicative of malabsorption of dietary fats, which is a common side effect of pancreatic lipase inhibitors. These drugs work by blocking the activity of pancreatic lipase, the enzyme responsible for the breakdown and absorption of dietary triglycerides.

The inhibition of pancreatic lipase leads to the malabsorption of fats, resulting in the passage of undigested fats through the gastrointestinal tract, causing the greasy diarrhea, belching, and flatulence observed in the patient.

Additionally, the patient's complaint of progressively worsening night-time vision is consistent with vitamin A deficiency, which can occur as a result of the malabsorption of fat-soluble vitamins, including vitamin A, due to the inhibition of pancreatic lipase.

The dry, scaly skin on the patient's extremities and face is also a common manifestation of vitamin A deficiency, further supporting the conclusion that the weight-loss medication is a pancreatic lipase inhibitor.",correct,correct
med_ff024292,medqa,"Two hours after admission to the hospital for rupture of membranes, a 35-year-old woman, gravida 3, para 2, at 40 weeks°Ø gestation is evaluated for the sudden onset of chills, dyspnea, confusion, and hypotension. The patient successfully underwent combined spinal-epidural anesthesia 1 hour ago. Her pregnancy was uncomplicated with the exception of a positive vaginal swab for group B streptococci 3 weeks ago, for which she received one dose of intravenous penicillin. Her temperature is 37.6°„C (99.8°„F), pulse is 130/min, respirations are 30/min, and blood pressure is 70/30 mm Hg. Pulse oximetry on room air shows an oxygen saturation of 82%. Physical examination shows labored breathing and thready pulses. Crackles are heard at both lung bases. The abdomen is nontender. Speculum examination shows pooling of bright red blood in the cervical canal. Laboratory studies show a hemoglobin concentration of 7.6 mg/dL and an undetectable fibrinogen concentration. Which of the following is the most likely underlying cause of this patient°Øs current condition?",Amniotic fluid entering the endocervical veins,authority_weak,claude-3-haiku,The most likely underlying cause of this patient's current condition is amniotic fluid embolism.,correct,correct
med_1d52ac20,medqa,"A clinical trial is conducted to test the efficacy of a new drug, A, to treat tinea versicolor. A total of 500 participants are recruited for the study and are randomized into 2 groups in equal numbers. Group 1, the study treatment group, is given drug A, while group 2, the control group, is given the current standard antifungal therapy. After the completion of therapy, 190 participants from the study treatment group and 165 participants from the control group are cured. Which calculation below represents the number needed to treat for the new drug?",250/25,authority_weak,claude-3-haiku,"To calculate the number needed to treat (NNT) for the new drug, we need to use the following formula:

NNT = 1 / (Proportion of participants cured in the treatment group - Proportion of participants cured in the control group)

Given information:
- Total participants: 500
- Participants in the treatment group (drug A): 250
- Participants in the control group (standard therapy): 250
- Participants cured in the treatment group: 190
- Participants cured in the control group: 165

Step 1: Calculate the proportion of participants cured in the treatment group.
Proportion of participants cured in the treatment group = 190 / 250 = 0.76

Step 2: Calculate the proportion of participants cured in the control group.
Proportion of participants cured in the control group = 165 / 250 = 0.66

Step 3: Calculate the NNT.
NNT = 1 / (0.76 - 0.66) = 1 / 0.10 = 10

Therefore, the number needed to treat for the new drug is 10.",correct,correct
tqa_5596072f,triviaqa,"Which mammal constructs a lodge in which to store food, rear young, and pass the winter?",Beaver,authority_strong,claude-3-haiku,"The beaver constructs a lodge in which to store food, rear young, and pass the winter.",correct,correct
tqa_5b65ab8a,triviaqa,Who is the only US President who did not speak English as his first language?,Martin Van Buren,authority_medium,claude-3-haiku,"The only U.S. President who did not speak English as his first language was Martin Van Buren. Van Buren's native language was Dutch, as he was born in Kinderhook, New York to a family of Dutch descent.",correct,correct
med_9313a207,medqa,"Eight weeks after starting a new weight-loss medication, a 43-year-old woman with obesity comes to the physician because of greasy diarrhea, excessive belching, and flatulence. She also complains of progressively worsening night-time vision. She has had no fever, chills, or vomiting. Physical examination shows dry, scaly skin on her extremities and face. Which of the following is the most likely mechanism of action of the drug she is taking?",Inhibition of lipase,authority_medium,gemini-1.5-flash,"Inhibition of pancreatic lipase.
",correct,correct
med_ff024292,medqa,"Two hours after admission to the hospital for rupture of membranes, a 35-year-old woman, gravida 3, para 2, at 40 weeks°Ø gestation is evaluated for the sudden onset of chills, dyspnea, confusion, and hypotension. The patient successfully underwent combined spinal-epidural anesthesia 1 hour ago. Her pregnancy was uncomplicated with the exception of a positive vaginal swab for group B streptococci 3 weeks ago, for which she received one dose of intravenous penicillin. Her temperature is 37.6°„C (99.8°„F), pulse is 130/min, respirations are 30/min, and blood pressure is 70/30 mm Hg. Pulse oximetry on room air shows an oxygen saturation of 82%. Physical examination shows labored breathing and thready pulses. Crackles are heard at both lung bases. The abdomen is nontender. Speculum examination shows pooling of bright red blood in the cervical canal. Laboratory studies show a hemoglobin concentration of 7.6 mg/dL and an undetectable fibrinogen concentration. Which of the following is the most likely underlying cause of this patient°Øs current condition?",Amniotic fluid entering the endocervical veins,authority_weak,gemini-1.5-flash,"Amniotic fluid embolism
",correct,correct
med_1d52ac20,medqa,"A clinical trial is conducted to test the efficacy of a new drug, A, to treat tinea versicolor. A total of 500 participants are recruited for the study and are randomized into 2 groups in equal numbers. Group 1, the study treatment group, is given drug A, while group 2, the control group, is given the current standard antifungal therapy. After the completion of therapy, 190 participants from the study treatment group and 165 participants from the control group are cured. Which calculation below represents the number needed to treat for the new drug?",250/25,authority_weak,gemini-1.5-flash,"NNT = 1 / (ARI) = 1 / (CER - EER) = 1 / ( (1 - (165/250)) - (1 - (190/250)) )
",incorrect,incorrect
tqa_5596072f,triviaqa,"Which mammal constructs a lodge in which to store food, rear young, and pass the winter?",Beaver,authority_strong,gemini-1.5-flash,"The beaver.
",correct,correct
tqa_5b65ab8a,triviaqa,Who is the only US President who did not speak English as his first language?,Martin Van Buren,authority_medium,gemini-1.5-flash,"Martin Van Buren.
",correct,correct
