RQ,condition,model,HR,HR_CI_lo,HR_CI_hi,AR,CS_mean,n
1/2,authority_medium,claude-3-haiku,0.3851,0.364,0.4072,0.0827,0.9907,1995
1/2,authority_medium,gemini-1.5-flash,0.3177,0.2984,0.3379,0.0135,0.9986,1995
1/2,authority_medium,gpt-4o-mini,0.3436,0.3232,0.3663,0.0,0.9932,1995
1/2,authority_strong,claude-3-haiku,0.4172,0.3956,0.4397,0.0256,0.9921,1995
1/2,authority_strong,gemini-1.5-flash,0.3298,0.3095,0.3491,0.0085,0.9985,1995
1/2,authority_strong,gpt-4o-mini,0.3502,0.3283,0.3718,0.0,0.9918,1995
1/2,authority_weak,claude-3-haiku,0.411,0.389,0.4316,0.0596,0.9898,1995
1/2,authority_weak,gemini-1.5-flash,0.3068,0.287,0.3257,0.0075,0.9981,1995
1/2,authority_weak,gpt-4o-mini,0.3531,0.3332,0.3739,0.0025,0.9919,1995
1/2,length_control_none,claude-3-haiku,0.4043,0.382,0.4257,0.0561,0.99,1995
1/2,length_control_none,gemini-1.5-flash,0.3083,0.287,0.3276,0.0095,0.9992,1995
1/2,length_control_none,gpt-4o-mini,0.3585,0.3374,0.3788,0.0,0.9918,1995
1/2,neutral_none,claude-3-haiku,0.4136,0.3911,0.434,0.0356,0.9954,1995
1/2,neutral_none,gemini-1.5-flash,0.3024,0.2829,0.3215,0.009,0.9996,1995
1/2,neutral_none,gpt-4o-mini,0.3607,0.3409,0.3829,0.001,0.9922,1995
1/2,non_expert_none,claude-3-haiku,0.384,0.3604,0.4079,0.1865,0.9839,1995
1/2,non_expert_none,gemini-1.5-flash,0.2818,0.2617,0.3041,0.0932,0.988,1995
1/2,non_expert_none,gpt-4o-mini,0.3378,0.3172,0.3586,0.012,0.9913,1995
1/2,professional_medium,claude-3-haiku,0.3803,0.3577,0.4013,0.0982,0.9877,1995
1/2,professional_medium,gemini-1.5-flash,0.3229,0.3028,0.3421,0.0246,0.9976,1995
1/2,professional_medium,gpt-4o-mini,0.3509,0.3306,0.3727,0.006,0.9924,1995
1/2,professional_strong,claude-3-haiku,0.4079,0.3869,0.4294,0.0602,0.9906,1995
1/2,professional_strong,gemini-1.5-flash,0.3255,0.3046,0.3458,0.012,0.9986,1995
1/2,professional_strong,gpt-4o-mini,0.3452,0.3254,0.3667,0.0055,0.9922,1995
1/2,professional_weak,claude-3-haiku,0.3754,0.3514,0.3978,0.1253,0.9849,1995
1/2,professional_weak,gemini-1.5-flash,0.2937,0.2739,0.3125,0.0426,0.9973,1995
1/2,professional_weak,gpt-4o-mini,0.3438,0.3242,0.3643,0.0055,0.9917,1995
